"","V1","V2","V3","lat","lon"
"11887","Capital One","Data Warehouse and Reporting Technical Specialist","Richmond, VA",37.626617,-77.492834
"11888","ALQIMI","Systems/Software Analyst I","Springfield, VA",38.704562,-78.446119
"11889","Booz Allen Hamilton","Video / Voice / Data Business Lead","Herndon, VA",38.983887,-77.367457
"11890","Booz Allen Hamilton","Business Systems Analyst, Junior","Herndon, VA",38.983887,-77.367457
"11891","RadiantBlue Technologies, Inc.","Systems Analyst I","Chantilly, VA",38.88668,-77.44566
"11892","Dept of Behavioral Health & Developmental Sv","Center of Excellence Program Coordinator","Richmond, VA",37.626617,-77.492834
"11893","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"11894","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"11895","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"11896","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"11897","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"11898","GBP Financial Solutions","PR0015SA - Technical Data Analyst - Chester, VA - 03/15/2016","Chester, VA",37.320744,-77.454311
"11899","CSRA","Policy Analyst/ Writer - Arlington, VA","Arlington, VA",37.283482,-77.294978
"11900","BAE Systems","ITSM Metrics Analyst","Dulles, VA",39.002125,-77.442066
"11901","Missing Link Security","Incident Response Analyst","Arlington, VA",37.283482,-77.294978
"11902","Armed Forces Services Corporation","Disability Evaluation Analyst","Arlington, VA",37.283482,-77.294978
"11903","Sotera Defense Solutions, Inc.","Database Administrator","Herndon, VA ",38.983887,-77.367457
"11904","Integrated Data Services","Business Analyst","Arlington, VA",37.283482,-77.294978
"11905","Tanager, Inc.","Incident Response Analyst V","Arlington, VA",37.283482,-77.294978
"11906","TechnoGen Inc","Netezza Database Administrator","Herndon, VA",38.983887,-77.367457
"11907","SunTrust","Operations Analyst (Richmond, VA)","Richmond, VA",37.626617,-77.492834
"11908","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"11909","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"11910","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"11911","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"11912","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"11913","ProActive Technologies Inc.","Data Entry Operator II","Quantico, VA",38.52602,-77.322803
"11914","Goldbelt, Inc.","DATA ENTRY OPERATOR II","Newport News, VA",37.058296,-76.463471
"11915","Grant Thornton","Health Systems Analyst","Alexandria, VA  ",38.80484,-77.04692
"11916","McGuireWoods LLP","Technical Operations Center Analyst","Richmond, VA",37.626617,-77.492834
"11917","Capital One","Data Warehouse and Reporting Technical Specialist","Richmond, VA",37.626617,-77.492834
"11918","Booz Allen Hamilton","Video / Voice / Data Business Lead","Herndon, VA",38.983887,-77.367457
"11919","ALQIMI","Systems/Software Analyst I","Springfield, VA",38.704562,-78.446119
"11920","Booz Allen Hamilton","Business Systems Analyst, Junior","Herndon, VA",38.983887,-77.367457
"11921","Dept of Behavioral Health & Developmental Sv","Center of Excellence Program Coordinator","Richmond, VA",37.626617,-77.492834
"11922","General Dynamics - Information Technology","Network Analyst/Systems Administrator II - TS/SCI - Ft. Belv...","Fort Belvoir, VA",38.714562,-77.167886
"11923","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"11924","AT&T","Data Analyst II","Oakton, VA",38.892796,-77.329906
"11925","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"11926","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"11927","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"11928","Cvent","Data Center Operations Technician","Tysons Corner, VA",38.918722,-77.231093
"11929","SP HR Solutions, Inc.","Data Analyst","Alexandria, VA",38.80484,-77.04692
"11930","RGS","Database Administrator","Herndon, VA",38.983887,-77.367457
"11931","E3 Federal Solutions, LLC","Project Analyst DODP1","Virginia",NA,NA
"11932","Department of Defense","GEOINT Analyst (Imagery Intelligence)","McLean, VA",38.935202,-77.18672
"11933","Edelman Financial","Retirement Plans Analyst","Alexandria, VA ",38.80484,-77.04692
"11934","redtoo","Technical/Data Analyst for ITPM","Chester, VA ",37.320744,-77.454311
